prefix,itemPart,brand,sku,name,description,img,date,marketplace,notes
089102,10419,Gloria Duchin,GL2327MA,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10420,Gloria Duchin,GL1480MA,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10421,Gloria Duchin,GL2327AP,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10422,Gloria Duchin,GL1480AP,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10423,Gloria Duchin,GL2327MY,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10424,Gloria Duchin,GL1480MY,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10425,Gloria Duchin,GL2327JN,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10426,Gloria Duchin,GL1480JN,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10427,Gloria Duchin,GL2327JL,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10428,Gloria Duchin,GL1480JL,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10429,Gloria Duchin,GL2327AU,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10430,Gloria Duchin,GL1480AU,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10431,Gloria Duchin,GL2327SP,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10432,Gloria Duchin,GL1480SP,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10433,Gloria Duchin,GL2327OC,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10434,Gloria Duchin,GL1480OC,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10435,Gloria Duchin,GL2327NV,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10436,Gloria Duchin,GL1480NV,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10437,Gloria Duchin,GL2327DC,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10438,Gloria Duchin,GL1480DC,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10439,Gloria Duchin,GL1952MG,,,,"Thu, 01 Jan 1970 05:00:00 GMT",GL195,
089102,10440,Gloria Duchin,GL1954MG,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10441,Gloria Duchin,GL2101PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10501,Gloria Duchin,M1340,Dove,(goodings),,"Sat, 01 Jan 1994 00:00:00 GMT",MASS MARKET,
089102,10502,Gloria Duchin,M1544,Heart,(goodings),,"Sat, 01 Jan 1994 00:00:00 GMT",MASS MARKET,
089102,10503,Gloria Duchin,M1334,Snowflake,(goodings),,"Sat, 01 Jan 1994 00:00:00 GMT",MASS MARKET,
089102,10504,Gloria Duchin,M1343,Teddy,(goodings),,"Sat, 01 Jan 1994 00:00:00 GMT",MASS MARKET,
089102,10505,Gloria Duchin,M1442,Santa face,(goodings),,"Sat, 01 Jan 1994 00:00:00 GMT",MASS MARKET,
089102,10506,Gloria Duchin,M1436,Rocking horse,(goodings),,"Sat, 01 Jan 1994 00:00:00 GMT",MASS MARKET,
089102,10507,Gloria Duchin,M1344,Double bells,(goodings),,"Sat, 01 Jan 1994 00:00:00 GMT",MASS MARKET,
089102,10508,Gloria Duchin,33034,Asst 1343/1344/1436/1442/1341/1358,,,"Thu, 01 Jan 1970 05:00:00 GMT",MASS MARKET,
089102,10509,Gloria Duchin,1343R,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10510,Gloria Duchin,1436R,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10511,Gloria Duchin,1444R,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10512,Gloria Duchin,1344R,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10513,Gloria Duchin,1334,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10514,Gloria Duchin,1442R,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10515,Gloria Duchin,1466,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10516,Gloria Duchin,1463R,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10517,Gloria Duchin,1340,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10518,Gloria Duchin,1341R,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10519,Gloria Duchin,1358R,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10520,Gloria Duchin,1342,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10521,Gloria Duchin,1443R,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10522,Gloria Duchin,GL2229PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",GL195,
089102,10523,Gloria Duchin,GL1330E,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10524,Gloria Duchin,GL1338E,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
